[Time];[G1.X];[G1.Y];[G1.Z];[G2.X];[G2.Y];[G2.Z];[G3.X];[G3.Y];[G3.Z];[G4.X];[G4.Y];[G4.Z];[A1.X];[A1.Y];[A1.Z];[A2.X];[A2.Y];[A2.Z];[A3.X];[A3.Y];[A3.Z];[A4.X];[A4.Y];[A4.Z];[M1.X];[M1.Y];[M1.Z];[M2.X];[M2.Y];[M2.Z];[M3.X];[M3.Y];[M3.Z];[M4.X];[M4.Y];[M4.Z];[EMG1];[EMG2];[PULSEA];[PULSEB]
6.74;1.029983978;-0.022888533;-0.984206912;2.082856489;2.388036927;1.991302358;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.686106661;-0.223331045;-0.637644007;0.339177539;-0.087953002;-0.871412223;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.010284581;0.024200809;-0.305577173;0.087434196;-0.01358053;-0.02200351;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.895551995;2.827191577;2.475037766;2.475037766
6.76;1.36568246;-1.167315175;-0.541695277;2.632181277;1.594567788;1.731898985;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.690379187;-0.225406272;-0.640939956;0.344426642;-0.084779126;-0.873853666;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.0099794;0.023956664;-0.305271992;0.089814603;-0.015777829;-0.029877165;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.895551995;2.849164569;2.475037766;2.475037766
6.78;2.235446708;-2.662699321;0.053406577;2.937361715;0.862134737;1.670862898;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.692088197;-0.224307622;-0.644235905;0.341741054;-0.085755703;-0.872755016;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.010101473;0.022858015;-0.30405127;0.094819562;-0.016144045;-0.031342031;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.890669108;2.841840238;2.475037766;2.475037766
6.8;2.891584649;-3.517204547;-0.007629511;3.013656825;0.373846037;1.457236591;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.689768826;-0.224307622;-0.643747616;0.341130694;-0.092225528;-0.872999161;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.01107805;0.024139773;-0.304905776;0.091950866;-0.015960937;-0.02230869;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.897993439;2.857709621;2.475037766;2.475037766
6.82;2.754253452;-3.547722591;-0.343327993;2.616922255;0.343327993;1.564049744;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.686594949;-0.227725643;-0.637277791;0.34149691;-0.10186923;-0.868116274;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.010406653;0.022919051;-0.305394064;0.087739376;-0.013763638;-0.014435035;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.890669108;2.840619516;2.475037766;2.475037766
6.84;1.152056153;-2.891584649;-1.304646372;1.136797131;0.907911803;1.670862898;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.683176928;-0.234439612;-0.619699397;0.333318074;-0.110780499;-0.864332036;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.009796292;0.023590448;-0.304661631;0.086518654;-0.015228504;-0.011871519;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.908979934;2.856488899;2.475037766;2.475037766
6.86;-1.213092241;-0.923170825;-1.85397116;-0.999465934;1.68612192;1.731898985;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.673899443;-0.241641871;-0.611276417;0.330876631;-0.110780499;-0.86677348;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.011993591;0.023590448;-0.305271992;0.090119783;-0.015411612;-0.013763638;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.872358282;2.81498436;2.475037766;2.475037766
6.88;-1.991302358;0.709544518;-1.564049744;-1.670862898;2.800030518;2.189669642;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.671335927;-0.244693675;-0.612130922;0.329777981;-0.09625391;-0.867994202;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.011200122;0.025055314;-0.305027848;0.091218433;-0.014801251;-0.027069505;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.894331273;2.860151064;2.475037766;2.475037766
6.9;-1.274128328;1.258869307;-1.152056153;-1.701380942;3.425650416;2.021820401;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.668162051;-0.238712139;-0.621164263;0.332097353;-0.094056611;-0.871412223;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.009735256;0.022613871;-0.305638209;0.089143206;-0.01669337;-0.017975128;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.882124056;2.82230869;2.475037766;2.475037766
6.92;-0.495918212;0.785839628;-0.953688869;-1.091020066;2.952620737;1.899748226;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.007629511;0.681101701;-0.22870222;-0.638742657;0.335149157;-0.086488136;-0.873365377;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;6.10361E-05;-0.010955978;0.024200809;-0.305333028;0.089326314;-0.014923323;-0.013214313;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;0.000030518;2.913862821;2.865033951;2.475037766;2.475037766
